angle_deg     ieee754_hex         sin_pre         sin_out    sin_out_real         sin_err         cos_pre         cos_out    cos_out_real         cos_err        flip_out
       56        42600000        0.829038            6a19        0.828888       -0.000150        0.559193            4791        0.559113       -0.000080              -1
       55        425c0000        0.819152            68d8        0.819092       -0.000060        0.573576            496b        0.573578        0.000001              -1
       54        42580000        0.809017            6787        0.808807       -0.000210        0.587785            4b3d        0.587799        0.000014              -1
       53        42540000        0.798636            6638        0.798584       -0.000052        0.601815            4d08        0.601807       -0.000008              -1
       52        42500000        0.788011            64dc        0.787964       -0.000047        0.615661            4ecd        0.615631       -0.000030              -1
       51        424c0000        0.777146            6375        0.777008       -0.000138        0.629320            508c        0.629272       -0.000048              -1
       50        42480000        0.766044            6211        0.766144        0.000099        0.642788            5242        0.642639       -0.000148              -1
       49        42440000        0.754710            609b        0.754730        0.000021        0.656059            53f6        0.655945       -0.000114              -1
       48        42400000        0.743145            5f1d        0.743073       -0.000072        0.669131            55a5        0.669098       -0.000033              -1
       47        423c0000        0.731354            5d99        0.731232       -0.000122        0.681998            5747        0.681854       -0.000144              -1
       46        42380000        0.719340            5c11        0.719269       -0.000071        0.694658            58e7        0.694550       -0.000109              -1
       45        42340000        0.707107            5a82        0.707092       -0.000014        0.707107            5a82        0.707092       -0.000014               0
       44        42300000        0.694658            58e7        0.694550       -0.000109        0.719340            5c17        0.719452        0.000112               0
       43        422c0000        0.681998            5749        0.681915       -0.000083        0.731354            5d9f        0.731415        0.000061               0
       42        42280000        0.669131            55a7        0.669159        0.000028        0.743145            5f1f        0.743134       -0.000011               0
       41        42240000        0.656059            53f8        0.656006       -0.000053        0.754710            609b        0.754730        0.000021               0
       40        42200000        0.642788            5244        0.642700       -0.000087        0.766044            6211        0.766144        0.000099               0
       39        421c0000        0.629320            508c        0.629272       -0.000048        0.777146            6379        0.777130       -0.000016               0
       38        42180000        0.615661            4ecd        0.615631       -0.000030        0.788011            64de        0.788025        0.000014               0
       37        42140000        0.601815            4d08        0.601807       -0.000008        0.798636            6638        0.798584       -0.000052               0
       36        42100000        0.587785            4b39        0.587677       -0.000108        0.809017            678f        0.809052        0.000035               0
       35        420c0000        0.573576            4967        0.573456       -0.000121        0.819152            68dc        0.819214        0.000062               0
       34        42080000        0.559193            4791        0.559113       -0.000080        0.829038            6a1d        0.829010       -0.000028               0
       33        42040000        0.544639            45b2        0.544495       -0.000144        0.838671            6b5a        0.838684        0.000014               0
       32        42000000        0.529919            43d5        0.529938        0.000018        0.848048            6c8e        0.848083        0.000035               0
       31        41f80000        0.515038            41ea        0.514954       -0.000084        0.857167            6dba        0.857239        0.000071               0
       30        41f00000        0.500000            4000        0.500000        0.000000        0.866025            6edc        0.866089        0.000063               0
       29        41e80000        0.484810            3e0d        0.484772       -0.000038        0.874620            6ff3        0.874603       -0.000016               0
       28        41e00000        0.469472            3c13        0.469330       -0.000142        0.882948            7108        0.883057        0.000109               0
       27        41d80000        0.453990            3a1b        0.453949       -0.000042        0.891007            720c        0.890991       -0.000015               0
       26        41d00000        0.438371            381a        0.438293       -0.000078        0.898794            730d        0.898834        0.000040               0
